month,year,total_deaths,total_confirmed,total_recovered,total_active
1,2020,889,38535,844,
2,2020,46898,1671959,380794,
3,2020,386173,8894726,2707659,3173061
4,2020,4176098,63402405,16414806,39085327
5,2020,9568332,144769885,54214094,81581855
6,2020,13285645,246578791,118668091,113348414
7,2020,18390651,431490739,242205298,168612192
8,2020,23881981,671137307,423457664,215788810
9,2020,28091769,892318080,606920170,257151843
10,2020,34257956,1227203938,841040783,351803346
11,2020,39871062,1644524215,1064686369,539786649
12,2020,51103527,2290559565,1370412651,875537285
1,2021,62666700,2913371806,1614305710,1236287068
2,2021,67152305,3050726665,1710782663,1276940940
3,2021,82902987,3754382144,2126482875,815315846
4,2021,89808738,4193868853,2399370497,777325783
5,2021,104702761,5035922986,3066910842,861381231
6,2021,114520880,5304909166,3440031162,763826408
7,2021,126482368,5879885228,3868016555,862463086
8,2021,135609885,6449556512,521752992,120111652
9,2021,141737473,6794923006,24565,0
10,2021,111934996,5491426347,,
